GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
authorization,com.authorizationservice.authorization.model,AuthenticationResponse,209,0,26,0,9,0,27,0,14,0
authorization,com.authorizationservice.authorization.model,AuthenticationRequest,43,0,0,0,6,0,7,0,7,0
authorization,com.authorizationservice.authorization.dto,AuthenticationRequestDTO,43,0,0,0,6,0,7,0,7,0
authorization,com.authorizationservice.authorization.dto,VaildatingDTO,28,0,0,0,5,0,5,0,5,0
authorization,com.authorizationservice.authorization.exceptions,LoginException,4,0,0,0,2,0,1,0,1,0
authorization,com.authorizationservice.authorization.util,JwtUtil,185,0,4,0,41,0,16,0,14,0
authorization,com.authorizationservice.authorization.controller,AuthorizationController,149,0,4,0,32,0,7,0,5,0
authorization,com.authorizationservice.authorization.service,AppUserDetailsService,77,0,2,0,14,0,6,0,5,0
authorization,com.authorizationservice.authorization,AuthorizationApplication,53,0,0,0,12,0,3,0,3,0
authorization,com.authorizationservice.authorization,SecurityConfigurer,92,0,0,0,15,0,4,0,4,0
authorization,com.authorizationservice.authorization.filters,JwtRequestFilter,83,0,10,0,20,0,8,0,3,0
